Dimension,Resource Name,Description,URL,Phone
financial,National Low Income Housing Coalition (NLIHC)  ,"A nonprofit organization advocating for affordable housing for low-income individuals and families, providing resources and information on housing policies and funding.  ",https://nlihc.org  ,NaN  
financial,HUD Exchange  ,"The U.S. Department of Housing and Urban Development (HUD) offers resources for housing assistance programs, including information on grants and funding for housing initiatives.  ",https://www.hudexchange.info  ,NaN  
financial,211  ,"A free, confidential service that helps people find local resources, including housing support, food assistance, and healthcare services. Available nationwide.  ",https://www.211.org  ,211  
financial,National Housing Trust  ,"A nonprofit organization focused on preserving and improving affordable housing, providing policy recommendations and funding opportunities.  ",https://www.nhtinc.org  ,NaN  
financial,Housing Assistance Council (HAC)  ,"A national nonprofit that supports affordable housing for rural communities through research, resources, and technical assistance.  ",https://www.ruralhome.org  ,NaN  
financial,New Jersey Department of Community Affairs (DCA)  ,"The state agency provides housing assistance programs, including rental assistance, homelessness prevention, and affordable housing development resources in New Jersey.  ",https://www.nj.gov/dca  ,(609) 292-6420  
financial,New Jersey Housing and Mortgage Finance Agency (NJHMFA)  ,"Offers financial assistance for homebuyers and renters, as well as affordable housing development programs throughout New Jersey.  ",https://www.njhousing.gov  ,(609) 278-7400  
financial,The National Alliance to End Homelessness  ,"A nonprofit organization dedicated to preventing and ending homelessness in the United States through advocacy, research, and policy initiatives.  ",https://endhomelessness.org  ,NaN  
financial,Legal Services of New Jersey  ,"Provides free legal assistance and resources for low-income residents facing housing issues, including eviction and housing discrimination.  ",https://www.lsnj.org  ,(888) 576-5529  
financial,U.S. Interagency Council on Homelessness (USICH)  ,A federal agency that coordinates the federal response to homelessness and provides resources for communities to reduce homelessness.  ,https://www.usich.gov  ,NaN  
financial,Habitat for Humanity  ,"A nonprofit organization that helps families build and improve places to call home, providing affordable housing solutions and community development.  ",https://www.habitat.org  ,NaN  
financial,Affordable Housing Online  ,"A comprehensive resource listing affordable housing options available across the United States, including low-income housing tax credit properties.  ",https://affordablehousingonline.com  ,NaN  
financial,New Jersey Tenants Organization  ,"Advocates for tenant rights in New Jersey, providing resources, legal assistance, and support for renters facing eviction or housing discrimination.  ",http://www.njto.org  ,(732) 819-0500  
financial,National Coalition for the Homeless  ,"Advocacy organization working to prevent and end homelessness through public education, policy initiatives, and community partnerships.  ",https://www.nationalhomeless.org  ,NaN  
